Usuario	Juegos	Cartera	Broquer	An�lisi	Noticies	Foros	Previsi�	Inversi�	Ahorro	Temps real
289	11.11	11.11	0.00	0.00	11.11	0.00	11.11	22.22	22.22	44.44
290	10.00	20.00	10.00	10.00	10.00	0.00	20.00	30.00	20.00	60.00
291	37.50	25.00	12.50	12.50	12.50	0.00	25.00	37.50	37.50	75.00
292	44.44	22.22	11.11	22.22	22.22	0.00	22.22	33.33	22.22	77.77
293	37.50	25.00	12.50	12.50	12.50	0.00	12.50	25.00	25.00	50.00
294	40.00	20.00	10.00	20.00	20.00	0.00	20.00	30.00	20.00	50.00
295	20.00	10.00	10.00	10.00	10.00	0.00	10.00	20.00	20.00	30.00
296	12.50	12.50	0.00	0.00	12.50	0.00	12.50	25.00	25.00	37.50
297	40.00	20.00	10.00	10.00	20.00	0.00	20.00	30.00	30.00	60.00
298	0.00	12.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	37.50
299	25.00	25.00	12.50	12.50	12.50	0.00	12.50	25.00	25.00	62.50
300	22.22	22.22	11.11	11.11	11.11	0.00	22.22	33.33	33.33	77.77
301	25.00	25.00	12.50	12.50	12.50	0.00	12.50	25.00	25.00	62.50
302	12.50	12.50	0.00	12.50	0.00	0.00	12.50	25.00	25.00	37.50
303	22.22	11.11	11.11	11.11	11.11	0.00	11.11	22.22	22.22	44.44
304	0.00	20.00	0.00	0.00	10.00	0.00	20.00	20.00	30.00	60.00
305	12.50	25.00	0.00	12.50	12.50	0.00	12.50	25.00	25.00	50.00
306	10.00	10.00	0.00	10.00	10.00	0.00	10.00	20.00	20.00	40.00
307	30.00	20.00	10.00	10.00	10.00	0.00	10.00	20.00	20.00	60.00
308	33.33	33.33	11.11	11.11	11.11	0.00	22.22	33.33	33.33	88.88
309	33.33	22.22	11.11	11.11	11.11	22.22	22.22	22.22	22.22	55.55
310	0.00	20.00	0.00	0.00	10.00	0.00	10.00	20.00	20.00	60.00
311	33.33	22.22	11.11	11.11	11.11	0.00	22.22	22.22	22.22	55.55
312	11.11	22.22	11.11	11.11	11.11	0.00	22.22	33.33	33.33	66.66
313	40.00	20.00	10.00	10.00	20.00	0.00	20.00	20.00	20.00	60.00
314	22.22	22.22	11.11	11.11	11.11	0.00	22.22	33.33	33.33	66.66
315	44.44	33.33	11.11	22.22	22.22	0.00	22.22	33.33	33.33	77.77
316	44.44	33.33	11.11	11.11	22.22	0.00	22.22	22.22	22.22	77.77
317	33.33	22.22	11.11	11.11	11.11	0.00	22.22	22.22	22.22	66.66
318	10.00	20.00	0.00	0.00	10.00	0.00	10.00	20.00	20.00	50.00
319	40.00	30.00	10.00	10.00	20.00	0.00	20.00	30.00	30.00	80.00
320	22.22	22.22	11.11	11.11	11.11	0.00	22.22	22.22	22.22	44.44
321	37.50	12.50	12.50	12.50	12.50	0.00	12.50	12.50	12.50	37.50
322	30.00	20.00	10.00	10.00	10.00	0.00	20.00	20.00	20.00	70.00
323	44.44	22.22	11.11	22.22	22.22	0.00	22.22	22.22	22.22	55.55
324	37.50	25.00	12.50	12.50	12.50	0.00	25.00	25.00	25.00	62.50
325	11.11	11.11	0.00	11.11	11.11	0.00	11.11	22.22	22.22	44.44
326	11.11	11.11	0.00	11.11	11.11	0.00	11.11	11.11	22.22	33.33
327	0.00	25.00	0.00	0.00	0.00	0.00	25.00	25.00	25.00	75.00
328	20.00	20.00	10.00	10.00	10.00	0.00	20.00	30.00	30.00	70.00
329	22.22	22.22	11.11	11.11	11.11	0.00	22.22	22.22	22.22	44.44
330	20.00	20.00	10.00	10.00	10.00	0.00	20.00	30.00	30.00	60.00
331	50.00	12.50	12.50	25.00	25.00	0.00	12.50	12.50	12.50	37.50
332	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
334	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
335	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
337	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
338	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
339	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
340	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
341	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
342	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
343	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
344	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
345	10.00	10.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00
348	20.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	10.00
349	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
352	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
354	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
355	10.00	10.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00
356	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
359	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00
360	11.11	11.11	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11
365	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
367	11.11	11.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11
371	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
